ID,tags,text,tokens,ner_tags
NCT02564744,"34:68:cancer,72:104:cancer",Participants with a diagnosis of chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL),"['Participants' 'with' 'a' 'diagnosis' 'of' 'chronic' 'lymphocytic'
 'leukemia' '(' 'CLL' ')' 'or' 'small' 'lymphocytic' 'lymphoma' '(' 'SLL'
 ')']",[0. 0. 0. 0. 0. 3. 3. 3. 3. 0. 0. 0. 3. 3. 3. 3. 0. 0.]
NCT01754857,"26:60:cancer,61:93:cancer",Histologically confirmed chronic lymphocytic leukemia (CLL)/small lymphocytic lymphoma (SLL),"['Histologically' 'confirmed' 'chronic' 'lymphocytic' 'leukemia' '(' 'CLL'
 ')' '/small' 'lymphocytic' 'lymphoma' '(' 'SLL' ')']",[0. 0. 3. 3. 3. 3. 0. 0. 3. 3. 3. 3. 0. 0.]
NCT02498951,"7:16:chronic_disease,22:56:chronic_disease",Known infection with human immunodeficiency virus (HIV),"['Known' 'infection' 'with' 'human' 'immunodeficiency' 'virus' '(' 'HIV'
 ')']",[0. 2. 0. 2. 2. 2. 2. 0. 0.]
NCT02037048,"21:30:chronic_disease,36:70:chronic_disease",Patients with known infection with human immunodeficiency virus (HIV) will not be eligible,"['Patients' 'with' 'known' 'infection' 'with' 'human' 'immunodeficiency'
 'virus' '(' 'HIV' ')' 'will' 'not' 'be' 'eligible']",[0. 0. 0. 2. 0. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.]
NCT02004275,"15:49:chronic_disease,50:59:chronic_disease",Patients with human immunodeficiency virus (HIV) infection are eligible,"['Patients' 'with' 'human' 'immunodeficiency' 'virus' '(' 'HIV' ')'
 'infection' 'are' 'eligible']",[0. 0. 2. 2. 2. 2. 0. 0. 2. 0. 0.]
NCT03175978,21:30:chronic_disease,Active uncontrolled infection or severe systemic infection (enrollment is possible after control of infection),"['Active' 'uncontrolled' 'infection' 'or' 'severe' 'systemic' 'infection'
 '(' 'enrollment' 'is' 'possible' 'after' 'control' 'of' 'infection' ')']",[0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT03016130,17:26:chronic_disease,Untreated major infection at presentation,['Untreated' 'major' 'infection' 'at' 'presentation'],[0. 0. 2. 0. 0.]
NCT03009110,14:23:chronic_disease,Pre-existing infection around incision site,['Pre-existing' 'infection' 'around' 'incision' 'site'],[0. 2. 0. 0. 0.]
NCT02978638,18:27:chronic_disease,Active untreated infection,['Active' 'untreated' 'infection'],[0. 0. 2.]
NCT02737202,9:18:chronic_disease,Current infection,['Current' 'infection'],[0. 2.]
NCT02641093,1:10:chronic_disease,infection,['infection'],[2.]
NCT02594111,1:10:chronic_disease,infection (major confounder with increased inflammatory markers),"['infection' '(' 'major' 'confounder' 'with' 'increased' 'inflammatory'
 'markers' ')']",[2. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02579967,62:71:chronic_disease,"Life-threatening, organ-threatening, or severely disfiguring infection","['Life-threatening' ',' 'organ-threatening' ',' 'or' 'severely'
 'disfiguring' 'infection']",[0. 0. 0. 0. 0. 0. 0. 2.]
NCT02543866,",24:33:chronic_disease",A history at least one infection due to ESC-R Enterobacteriaceae,"['A' 'history' 'at' 'least' 'one' 'infection' 'due' 'to' 'ESC-R'
 'Enterobacteriaceae']",[0. 0. 0. 0. 0. 2. 0. 0. 0. 0.]
NCT02540330,21:30:chronic_disease,Presence of serious infection,['Presence' 'of' 'serious' 'infection'],[0. 0. 0. 2.]
NCT02532595,8:17:chronic_disease,Recent infection,['Recent' 'infection'],[0. 2.]
NCT02520011,30:39:chronic_disease,"Have an active, uncontrolled infection","['Have' 'an' 'active' ',' 'uncontrolled' 'infection']",[0. 0. 0. 0. 0. 2.]
NCT02518594,",112:121:chronic_disease",Rupture of membranes due to likelihood of pregnancy loss and preterm delivery as well as the risk of ascending infection which could be increased with pessary placement,"['Rupture' 'of' 'membranes' 'due' 'to' 'likelihood' 'of' 'pregnancy'
 'loss' 'and' 'preterm' 'delivery' 'as' 'well' 'as' 'the' 'risk' 'of'
 'ascending' 'infection' 'which' 'could' 'be' 'increased' 'with' 'pessary'
 'placement']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0.
 0. 0. 0.]"
NCT02515110,57:66:chronic_disease,"Unresolved post-surgical complications (eg, significant infection) with healing difficulties","['Unresolved' 'post-surgical' 'complications' '(' 'eg' ',' 'significant'
 'infection' ')' 'with' 'healing' 'difficulties']",[0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0.]
NCT02514083,",,89:98:chronic_disease",Fevers of greater than 100.5 F for greater than or equal to 2 weeks without evidence of infection,"['Fevers' 'of' 'greater' 'than' '100.5' 'F' 'for' 'greater' 'than' 'or'
 'equal' 'to' '2' 'weeks' 'without' 'evidence' 'of' 'infection']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]
NCT02514083,",58:67:chronic_disease",Night sweats for more than one month without evidence of infection,"['Night' 'sweats' 'for' 'more' 'than' 'one' 'month' 'without' 'evidence'
 'of' 'infection']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]
NCT02490631,9:18:chronic_disease,Current infection,['Current' 'infection'],[0. 2.]
NCT02479698,89:98:chronic_disease,Persisting fever without other signs or symptoms will not be interpreted as progressing infection,"['Persisting' 'fever' 'without' 'other' 'signs' 'or' 'symptoms' 'will'
 'not' 'be' 'interpreted' 'as' 'progressing' 'infection']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]
NCT02477423,49:58:chronic_disease,Infant must be considered to have a low risk of infection,"['Infant' 'must' 'be' 'considered' 'to' 'have' 'a' 'low' 'risk' 'of'
 'infection']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]
NCT02469662,61:70:chronic_disease,Patient has a currently active or history of repeated local infection at the surgical site,"['Patient' 'has' 'a' 'currently' 'active' 'or' 'history' 'of' 'repeated'
 'local' 'infection' 'at' 'the' 'surgical' 'site']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0.]
NCT02446236,49:58:chronic_disease,Patients may be eligible upon resolution of the infection,"['Patients' 'may' 'be' 'eligible' 'upon' 'resolution' 'of' 'the'
 'infection']",[0. 0. 0. 0. 0. 0. 0. 0. 2.]
NCT02417701,84:93:chronic_disease,"Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection","['Uncontrolled' 'intercurrent' 'illness' 'including' ',' 'but' 'not'
 'limited' 'to' ',' 'ongoing' 'or' 'active' 'infection']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]
NCT02370693,22:31:chronic_disease,No evidence of acute infection,['No' 'evidence' 'of' 'acute' 'infection'],[0. 0. 0. 0. 2.]
NCT02346526,5:14:chronic_disease,Any infection ≥ National Cancer Institute Common Terminology Criteria for Adverse Events (NCI-CTCAE) version 4.03 Grade 2,"['Any' 'infection' '≥' 'National' 'Cancer' 'Institute' 'Common'
 'Terminology' 'Criteria' 'for' 'Adverse' 'Events' '(' 'NCI-CTCAE' ')'
 'version' '4.03' 'Grade' '2']",[0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02332863,9:18:chronic_disease,Current infection,['Current' 'infection'],[0. 2.]
NCT02323581,27:36:chronic_disease,Serious systemic or groin infection,['Serious' 'systemic' 'or' 'groin' 'infection'],[0. 0. 0. 0. 2.]
NCT02307565,30:39:chronic_disease,Currently have an illness or infection,['Currently' 'have' 'an' 'illness' 'or' 'infection'],[0. 0. 0. 0. 0. 2.]
NCT02271711,23:32:chronic_disease,Evidence of untreated infection,['Evidence' 'of' 'untreated' 'infection'],[0. 0. 0. 2.]
NCT02135588,27:36:chronic_disease,Active clinically serious infection > CTCAE (version 4.03) Grade 2,"['Active' 'clinically' 'serious' 'infection' '>' 'CTCAE' '(' 'version'
 '4.03' ')' 'Grade' '2']",[0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02108860,20:29:chronic_disease,Evidence of active infection (includes chronic infection),"['Evidence' 'of' 'active' 'infection' '(' 'includes' 'chronic' 'infection'
 ')']",[0. 0. 0. 2. 0. 0. 0. 0. 0.]
NCT02101736,35:44:chronic_disease,Patients who have an uncontrolled infection,['Patients' 'who' 'have' 'an' 'uncontrolled' 'infection'],[0. 0. 0. 0. 0. 2.]
NCT02075671,13:22:chronic_disease,Scarring or infection in the area being treated,['Scarring' 'or' 'infection' 'in' 'the' 'area' 'being' 'treated'],[0. 0. 2. 0. 0. 0. 0. 0.]
NCT02072148,44:53:chronic_disease,Active clinically significant uncontrolled infection,['Active' 'clinically' 'significant' 'uncontrolled' 'infection'],[0. 0. 0. 0. 2.]
NCT02050347,21:30:chronic_disease,Severe intercurrent infection,['Severe' 'intercurrent' 'infection'],[0. 0. 2.]
NCT01940757,"21:30:chronic_disease,",History of previous infection with hookworm or residence for more than 6 months in a hookworm-endemic area,"['History' 'of' 'previous' 'infection' 'with' 'hookworm' 'or' 'residence'
 'for' 'more' 'than' '6' 'months' 'in' 'a' 'hookworm-endemic' 'area']",[0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT01873131,13:22:chronic_disease,Scarring or infection of the area to be treated,['Scarring' 'or' 'infection' 'of' 'the' 'area' 'to' 'be' 'treated'],[0. 0. 2. 0. 0. 0. 0. 0. 0.]
NCT01614197,",,,77:86:chronic_disease",Fever above 38.2 within 48 hours of study enrollment with clinical signs of infection,"['Fever' 'above' '38.2' 'within' '48' 'hours' 'of' 'study' 'enrollment'
 'with' 'clinical' 'signs' 'of' 'infection']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]
NCT01554371,40:49:chronic_disease,Severe/uncontrolled concurrent illness/infection,['Severe/uncontrolled' 'concurrent' 'illness/infection'],[0. 0. 2.]
NCT01505062,"25:34:chronic_disease,",Intercurrent illness or infection 28 days prior to SAR421869 administration,"['Intercurrent' 'illness' 'or' 'infection' '28' 'days' 'prior' 'to'
 'SAR421869' 'administration']",[0. 0. 0. 2. 0. 0. 0. 0. 0. 0.]
NCT01313533,34:43:chronic_disease,Subject has clinical evidence of infection that the Investigator deems significant to the completion of the procedure or that could compromise the subject's safety,"['Subject' 'has' 'clinical' 'evidence' 'of' 'infection' 'that' 'the'
 'Investigator' 'deems' 'significant' 'to' 'the' 'completion' 'of' 'the'
 'procedure' 'or' 'that' 'could' 'compromise' 'the' 'subject' ""'s""
 'safety']","[0. 0. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]"
